SL_AA,MOD_AA,EXT_AA,COL_AA,Damage_AA
0.2648,0.0165,0.0052,0.006,0.2925
0.0912,0.03,0.0224,0.0065,0.1501
0.0186,0.0042,0.0028,0.0025,0.0281
0.0152,0.0009,0.0004,0.0025,0.019
0.0454,0.0027,0.0004,0.0005,0.049
0.0586,0.0108,0.0004,0.001,0.0708
0.1892,0.0096,0.0056,0.0005,0.2049
0.0772,0.0114,0.008,0.002,0.0986
0.1068,0.0009,0.0008,0.0005,0.109
0.0516,0.0045,0.0016,0.006,0.0637
0.014,0.0006,0,0,0.0146
0.0106,0.0015,0.0004,0,0.0125
0.0244,0.0126,0.0012,0.0015,0.0397
0.013,0.0171,0.0008,0.003,0.0339
0.0206,0.0066,0.0064,0.0055,0.0391
0.0954,0.012,0.0012,0.0015,0.1101
0.0886,0.0012,0.0148,0.0015,0.1061
0.0478,0.0012,0.0048,0.003,0.0568
0.032,0.0009,0.0032,0,0.0361
0.0184,0.0003,0.002,0.0005,0.0212
0.033,0.0009,0.0008,0,0.0347
